"Period","Sex","Age_group","Ethnic_group","Regional_council","Level_of_crowding","Count"
2001,"Female","Total","Total","Total","1 bedroom needed",122958
2001,"Female","Total","Total","Total","1 bedroom spare",612447
2001,"Female","Total","Total","Total","2+ bedrooms needed",56163
2001,"Female","Total","Total","Total","2+ bedrooms spare",516039
2001,"Female","Total","Total","Total","No extra bedrooms required",459234
2001,"Female","Total","Total","Total","Total",1840050
2001,"Female","Total","Total","Total","Unknown",73209
2001,"Male","Total","Total","Total","1 bedroom needed",116505
2001,"Male","Total","Total","Total","1 bedroom spare",572514
2001,"Male","Total","Total","Total","2+ bedrooms needed",52728
2001,"Male","Total","Total","Total","2+ bedrooms spare",503715
2001,"Male","Total","Total","Total","No extra bedrooms required",439074
2001,"Male","Total","Total","Total","Total",1754466
2001,"Male","Total","Total","Total","Unknown",69927
2001,"Total","0–4","Total","Total","1 bedroom needed",29688
2001,"Total","0–4","Total","Total","1 bedroom spare",96354
2001,"Total","0–4","Total","Total","2+ bedrooms needed",14715
2001,"Total","0–4","Total","Total","2+ bedrooms spare",34461
2001,"Total","0–4","Total","Total","No extra bedrooms required",83739
2001,"Total","0–4","Total","Total","Total",267036
2001,"Total","0–4","Total","Total","Unknown",8079
2001,"Total","10–14","Total","Total","1 bedroom needed",27861
2001,"Total","10–14","Total","Total","1 bedroom spare",100248
2001,"Total","10–14","Total","Total","2+ bedrooms needed",13059
2001,"Total","10–14","Total","Total","2+ bedrooms spare",42831
2001,"Total","10–14","Total","Total","No extra bedrooms required",92469
2001,"Total","10–14","Total","Total","Total",284643
2001,"Total","10–14","Total","Total","Unknown",8178
2001,"Total","15–19","Total","Total","1 bedroom needed",25320
2001,"Total","15–19","Total","Total","1 bedroom spare",82944
2001,"Total","15–19","Total","Total","2+ bedrooms needed",12603
2001,"Total","15–19","Total","Total","2+ bedrooms spare",40290
2001,"Total","15–19","Total","Total","No extra bedrooms required",80415
2001,"Total","15–19","Total","Total","Total",250380
2001,"Total","15–19","Total","Total","Unknown",8808
2001,"Total","20–24","Total","Total","1 bedroom needed",22824
2001,"Total","20–24","Total","Total","1 bedroom spare",68091
2001,"Total","20–24","Total","Total","2+ bedrooms needed",11319
2001,"Total","20–24","Total","Total","2+ bedrooms spare",34053
2001,"Total","20–24","Total","Total","No extra bedrooms required",81279
2001,"Total","20–24","Total","Total","Total",227523
2001,"Total","20–24","Total","Total","Unknown",9957
2001,"Total","25–29","Total","Total","1 bedroom needed",17316
2001,"Total","25–29","Total","Total","1 bedroom spare",80133
2001,"Total","25–29","Total","Total","2+ bedrooms needed",7749
2001,"Total","25–29","Total","Total","2+ bedrooms spare",51510
2001,"Total","25–29","Total","Total","No extra bedrooms required",70125
2001,"Total","25–29","Total","Total","Total",237192
2001,"Total","25–29","Total","Total","Unknown",10359
2001,"Total","30–34","Total","Total","1 bedroom needed",17802
2001,"Total","30–34","Total","Total","1 bedroom spare",96276
2001,"Total","30–34","Total","Total","2+ bedrooms needed",7119
2001,"Total","30–34","Total","Total","2+ bedrooms spare",61863
2001,"Total","30–34","Total","Total","No extra bedrooms required",74241
2001,"Total","30–34","Total","Total","Total",268743
2001,"Total","30–34","Total","Total","Unknown",11448
2001,"Total","35–39","Total","Total","1 bedroom needed",18348
2001,"Total","35–39","Total","Total","1 bedroom spare",106548
2001,"Total","35–39","Total","Total","2+ bedrooms needed",6765
2001,"Total","35–39","Total","Total","2+ bedrooms spare",63699
2001,"Total","35–39","Total","Total","No extra bedrooms required",81336
2001,"Total","35–39","Total","Total","Total",288204
2001,"Total","35–39","Total","Total","Unknown",11508
2001,"Total","40–44","Total","Total","1 bedroom needed",15375
2001,"Total","40–44","Total","Total","1 bedroom spare",103587
2001,"Total","40–44","Total","Total","2+ bedrooms needed",5847
2001,"Total","40–44","Total","Total","2+ bedrooms spare",71403
2001,"Total","40–44","Total","Total","No extra bedrooms required",71427
2001,"Total","40–44","Total","Total","Total",278700
2001,"Total","40–44","Total","Total","Unknown",11058
2001,"Total","45–49","Total","Total","1 bedroom needed",11028
2001,"Total","45–49","Total","Total","1 bedroom spare",83547
2001,"Total","45–49","Total","Total","2+ bedrooms needed",4560
2001,"Total","45–49","Total","Total","2+ bedrooms spare",86628
2001,"Total","45–49","Total","Total","No extra bedrooms required",50706
2001,"Total","45–49","Total","Total","Total",246081
2001,"Total","45–49","Total","Total","Unknown",9615
2001,"Total","5–9","Total","Total","1 bedroom needed",32595
2001,"Total","5–9","Total","Total","1 bedroom spare",92439
2001,"Total","5–9","Total","Total","2+ bedrooms needed",14709
2001,"Total","5–9","Total","Total","2+ bedrooms spare",33477
2001,"Total","5–9","Total","Total","No extra bedrooms required",102678
2001,"Total","5–9","Total","Total","Total",284184
2001,"Total","5–9","Total","Total","Unknown",8283
2001,"Total","50–54","Total","Total","1 bedroom needed",7212
2001,"Total","50–54","Total","Total","1 bedroom spare",65562
2001,"Total","50–54","Total","Total","2+ bedrooms needed",3315
2001,"Total","50–54","Total","Total","2+ bedrooms spare",111381
2001,"Total","50–54","Total","Total","No extra bedrooms required",33852
2001,"Total","50–54","Total","Total","Total",230148
2001,"Total","50–54","Total","Total","Unknown",8823
2001,"Total","55–59","Total","Total","1 bedroom needed",4590
2001,"Total","55–59","Total","Total","1 bedroom spare",43494
2001,"Total","55–59","Total","Total","2+ bedrooms needed",2169
2001,"Total","55–59","Total","Total","2+ bedrooms spare",99384
2001,"Total","55–59","Total","Total","No extra bedrooms required",19650
2001,"Total","55–59","Total","Total","Total",176286
2001,"Total","55–59","Total","Total","Unknown",6996
2001,"Total","60–64","Total","Total","1 bedroom needed",3570
2001,"Total","60–64","Total","Total","1 bedroom spare",35343
2001,"Total","60–64","Total","Total","2+ bedrooms needed",1878
2001,"Total","60–64","Total","Total","2+ bedrooms spare",86367
2001,"Total","60–64","Total","Total","No extra bedrooms required",14907
2001,"Total","60–64","Total","Total","Total",148305
2001,"Total","60–64","Total","Total","Unknown",6240
2001,"Total","65–69","Total","Total","1 bedroom needed",2454
2001,"Total","65–69","Total","Total","1 bedroom spare",30888
2001,"Total","65–69","Total","Total","2+ bedrooms needed",1269
2001,"Total","65–69","Total","Total","2+ bedrooms spare",69939
2001,"Total","65–69","Total","Total","No extra bedrooms required",11457
2001,"Total","65–69","Total","Total","Total",121383
2001,"Total","65–69","Total","Total","Unknown",5373
2001,"Total","70–74","Total","Total","1 bedroom needed",1662
2001,"Total","70–74","Total","Total","1 bedroom spare",32844
2001,"Total","70–74","Total","Total","2+ bedrooms needed",906
2001,"Total","70–74","Total","Total","2+ bedrooms spare",60201
2001,"Total","70–74","Total","Total","No extra bedrooms required",10224
2001,"Total","70–74","Total","Total","Total",111558
2001,"Total","70–74","Total","Total","Unknown",5727
2001,"Total","75+","Total","Total","1 bedroom needed",1818
2001,"Total","75+","Total","Total","1 bedroom spare",66669
2001,"Total","75+","Total","Total","2+ bedrooms needed",912
2001,"Total","75+","Total","Total","2+ bedrooms spare",72258
2001,"Total","75+","Total","Total","No extra bedrooms required",19806
2001,"Total","75+","Total","Total","Total",174147
2001,"Total","75+","Total","Total","Unknown",12681
2001,"Total","Total","Asian","Total","1 bedroom needed",32487
2001,"Total","Total","Asian","Total","1 bedroom spare",63522
2001,"Total","Total","Asian","Total","2+ bedrooms needed",12300
2001,"Total","Total","Asian","Total","2+ bedrooms spare",37695
2001,"Total","Total","Asian","Total","No extra bedrooms required",73815
2001,"Total","Total","Asian","Total","Total",225324
2001,"Total","Total","Asian","Total","Unknown",5505
2001,"Total","Total","European","Total","1 bedroom needed",101370
2001,"Total","Total","European","Total","1 bedroom spare",983973
2001,"Total","Total","European","Total","2+ bedrooms needed",21654
