"Period","Area","Ethnic_group","Percentage"
2001,"Area Outside Region","European",3.9
2001,"Area Outside Region","Māori",13.6
2001,"Area Outside Region","Middle Eastern/Latin American/African",NA
2001,"Area Outside Region","Not elsewhere included",33.3
2001,"Area Outside Region","Pacific Peoples",0
2001,"Area Outside Region","Total people stated",8.4
2001,"Auckland Region","European",1.3
2001,"Auckland Region","Māori",20.9
2001,"Auckland Region","Middle Eastern/Latin American/African",0.9
2001,"Auckland Region","Not elsewhere included",3.5
2001,"Auckland Region","Pacific Peoples",4.2
2001,"Auckland Region","Total people stated",3.2
2001,"Bay of Plenty Region","European",2.6
2001,"Bay of Plenty Region","Māori",31.9
2001,"Bay of Plenty Region","Middle Eastern/Latin American/African",3.5
2001,"Bay of Plenty Region","Not elsewhere included",10.8
2001,"Bay of Plenty Region","Pacific Peoples",15.7
2001,"Bay of Plenty Region","Total people stated",9.7
2001,"Canterbury Region","European",1.1
2001,"Canterbury Region","Māori",18.3
2001,"Canterbury Region","Middle Eastern/Latin American/African",1.4
2001,"Canterbury Region","Not elsewhere included",2.2
2001,"Canterbury Region","Pacific Peoples",5.5
2001,"Canterbury Region","Total people stated",1.9
2001,"Gisborne Region","European",5
2001,"Gisborne Region","Māori",34.5
2001,"Gisborne Region","Middle Eastern/Latin American/African",13
2001,"Gisborne Region","Not elsewhere included",11.6
2001,"Gisborne Region","Pacific Peoples",16.8
2001,"Gisborne Region","Total people stated",17
2001,"Hawke's Bay Region","European",2.3
2001,"Hawke's Bay Region","Māori",27.1
2001,"Hawke's Bay Region","Middle Eastern/Latin American/African",4.4
2001,"Hawke's Bay Region","Not elsewhere included",9.4
2001,"Hawke's Bay Region","Pacific Peoples",10.1
2001,"Hawke's Bay Region","Total people stated",7.2
2001,"Manawatu-Wanganui Region","European",2.3
2001,"Manawatu-Wanganui Region","Māori",25.4
2001,"Manawatu-Wanganui Region","Middle Eastern/Latin American/African",2.5
2001,"Manawatu-Wanganui Region","Not elsewhere included",7
2001,"Manawatu-Wanganui Region","Pacific Peoples",9.7
2001,"Manawatu-Wanganui Region","Total people stated",5.6
2001,"Marlborough Region","European",1.2
2001,"Marlborough Region","Māori",17
2001,"Marlborough Region","Middle Eastern/Latin American/African",9.5
2001,"Marlborough Region","Not elsewhere included",5.6
2001,"Marlborough Region","Pacific Peoples",6.8
2001,"Marlborough Region","Total people stated",2.3
2001,"Nelson Region","European",1.2
2001,"Nelson Region","Māori",20.1
2001,"Nelson Region","Middle Eastern/Latin American/African",0
2001,"Nelson Region","Not elsewhere included",2.8
2001,"Nelson Region","Pacific Peoples",8.2
2001,"Nelson Region","Total people stated",2.3
2001,"Northland Region","European",3.2
2001,"Northland Region","Māori",30
2001,"Northland Region","Middle Eastern/Latin American/African",4.8
2001,"Northland Region","Not elsewhere included",8.6
2001,"Northland Region","Pacific Peoples",16.1
2001,"Northland Region","Total people stated",10.4
2001,"Otago Region","European",1.4
2001,"Otago Region","Māori",17.3
